2018-2	1	1	1	1	0.5	1	1.5	1	1	1	1	1	12
2018-2	0	1	0	1	1	1	1	1	1	1	0	0	8
2018-2	0	1	1	1	0.5	0	1	1	1	1	1	1	9.5
2018-2	0	0	0	1	1	0	2	1	0	1	1	0	7
2018-3	1	2	1	1	1	1	2	1	1	1	1	1	14
2019-1	1	1	1	1	1	1	2	1	1	1	1	1	13
2019-1	1	2	1	1	1	1	1.5	1	1	1	1	1	13.5
2019-1	0.5	2	2	1	1	0	2	1	1	1	1	1	13.5
2019-1	0.5	1	0	1	0.5	1	2	1	1	1	1	1	11
2019-1	0.5	1	1	1	1	1	1	1	1	1	1	1	11.5
2019-1	0.5	1.5	0	1	1	1	1.5	1	1	1	1	0	10.5
2019-1	0	1	1	0	1	0	1.5	1	1	1	1	0	8.5
2019-1	0.5	2	0.5	0.5	1	1	1.5	1	1	1	1	1	12
2019-1	0.5	1	1	1	1	0.5	2	1	1	1	1	0	11
2019-1	0	0	0	0	0	0	0	0	0	0	0	0	0
2019-1	0	1	0	0.5	1	0.5	1.5	0.5	1	1	1	1	9
2019-1	0	1	1	1	0.5	1	1	1	1	1	1	1.5	11
2019-1	0.5	1	1	1	0.5	1	2	1	1	1	1	1	12
2019-1	0	1	0.5	0.5	0.5	1	2	1	1	1	1	0	9.5
2019-2	1	0.5	1	0.5	0.5	0.5	1	1	1	1	1	0.5	9.5
2019-2	0.5	1	1	1	0.5	1	1	1	1	1	1	1	11
2017-1	0	0	0	0	0	0	0	0	0	0	0	0	0
2017-2	0	0	0	0	0	0	0	0	0	0	0	0	0
2017-2	0.5	1	1	1	1	1	1	1	1	1	0	1	10.5
2017-3	0	0	0	0	0	0	0	0	0	0	0	0	0
2017-3	0	0	0	0	0	0	0	0	0	0	0	0	0
2018-1	0.5	1	1	1	0.5	1	1.5	1	1	1	1	1	11.5
2018-1	0.5	1	1	1	0.5	1	2	1	1	1	1	1	12
2018-1	1	1	1	1	1	1	2	1	1	1	1	1	13
2018-1	1	2	1.5	0.5	1	1	2	1	1	1	1	1	14
2018-1	0	0	0	1	1	1	1	1	1	1	1	0	8
